Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW1,SW_Push,SW-SMD-5.1x5.1,18.00mm,23.50mm,0,Top
SW2,SW_Push,SW-SMD-5.1x5.1,18.00mm,41.50mm,0,Top
SW3,SW_Push,SW-SMD-5.1x5.1,9.00mm,32.50mm,0,Top
SW4,SW_Push,SW-SMD-5.1x5.1,27.00mm,32.50mm,0,Top
SW5,SW_Push,SW-SMD-5.1x5.1,142.00mm,22.50mm,0,Top
SW6,SW_Push,SW-SMD-5.1x5.1,152.00mm,32.50mm,0,Top
SW7,SW_Push,SW-SMD-5.1x5.1,142.00mm,42.50mm,0,Top
SW8,SW_Push,SW-SMD-5.1x5.1,133.00mm,32.50mm,0,Top
SW9,SW_Push,SW-SMD-5.1x5.1,8.00mm,54.50mm,0,Top
SW10,SW_Push,SW-SMD-5.1x5.1,28.00mm,54.50mm,0,Top
SW13,SW_Push,SW-SMD-5.1x5.1,142.00mm,61.70mm,0,Top
LED1,Red,LED_0805,25.00mm,67.50mm,0,Top
LED2,Green,LED_0805,32.00mm,67.50mm,0,Top
SW11,SW_Push,SW-SMD-5.1x5.1,15.00mm,5.50mm,90,Bottom
SW12,SW_Push,SW-SMD-5.1x5.1,145.00mm,5.50mm,90,Bottom
U1,ESP32-S3-WROOM-1-N16R8,Module_ESP32-S3,80.00mm,31.12mm,0,Bottom
J4,FPC-40P-0.5mm,FPC-40P-0.5mm,135.00mm,35.50mm,270,Bottom
J1,USB-C-16P,USB-C-SMD-16P,80.00mm,71.20mm,0,Bottom
U6,Micro-SD-TF-01A,TF-01A,140.00mm,67.00mm,0,Bottom
SW_PWR,SS-12D00G3,SS-12D00G3,40.00mm,72.00mm,0,Bottom
U2,IP5306,ESOP-8,110.00mm,42.50mm,0,Bottom
U3,AMS1117-3.3,SOT-223,125.00mm,55.50mm,0,Bottom
U5,PAM8403,SOP-16,30.00mm,29.50mm,180,Bottom
L1,1uH,SMD-4x4x2,110.00mm,52.50mm,0,Bottom
J3,JST-PH-2P-SMD,JST-PH-2P-SMD,80.00mm,62.50mm,180,Bottom
SW_RST,SW_Push,SW-SMD-5.1x5.1,95.00mm,65.50mm,0,Bottom
SW_BOOT,SW_Push,SW-SMD-5.1x5.1,105.00mm,65.50mm,0,Bottom
R1,5.1k,R_0805,74.00mm,67.00mm,0,Bottom
R2,5.1k,R_0805,78.00mm,67.00mm,0,Bottom
R3,10k,R_0805,65.00mm,42.00mm,0,Bottom
C3,100nF,C_0805,69.50mm,42.00mm,0,Bottom
C4,100nF,C_0805,92.00mm,42.00mm,0,Bottom
C26,100nF,C_0805,91.50mm,21.00mm,90,Bottom
R17,1k,R_0805,25.00mm,65.00mm,0,Bottom
R18,1k,R_0805,32.00mm,65.00mm,0,Bottom
R4,10k,R_0805,43.00mm,46.00mm,0,Bottom
R5,10k,R_0805,48.00mm,46.00mm,0,Bottom
R6,10k,R_0805,53.00mm,46.00mm,0,Bottom
R7,10k,R_0805,58.00mm,46.00mm,0,Bottom
R8,10k,R_0805,63.00mm,46.00mm,0,Bottom
R9,10k,R_0805,68.00mm,46.00mm,0,Bottom
R10,10k,R_0805,73.00mm,46.00mm,0,Bottom
R11,10k,R_0805,78.00mm,46.00mm,0,Bottom
R12,10k,R_0805,83.00mm,46.00mm,0,Bottom
R13,10k,R_0805,88.00mm,46.00mm,0,Bottom
R14,10k,R_0805,93.00mm,46.00mm,0,Bottom
R15,10k,R_0805,98.00mm,46.00mm,0,Bottom
R19,10k,R_0805,103.00mm,46.00mm,0,Bottom
R16,100k,R_0805,115.00mm,52.50mm,0,Bottom
C5,100nF,C_0805,43.00mm,50.00mm,0,Bottom
C6,100nF,C_0805,48.00mm,50.00mm,0,Bottom
C7,100nF,C_0805,53.00mm,50.00mm,0,Bottom
C8,100nF,C_0805,58.00mm,50.00mm,0,Bottom
C9,100nF,C_0805,63.00mm,50.00mm,0,Bottom
C10,100nF,C_0805,68.00mm,50.00mm,0,Bottom
C11,100nF,C_0805,73.00mm,50.00mm,0,Bottom
C12,100nF,C_0805,78.00mm,50.00mm,0,Bottom
C13,100nF,C_0805,83.00mm,50.00mm,0,Bottom
C14,100nF,C_0805,88.00mm,50.00mm,0,Bottom
C15,100nF,C_0805,93.00mm,50.00mm,0,Bottom
C16,100nF,C_0805,98.00mm,50.00mm,0,Bottom
C20,100nF,C_0805,103.00mm,50.00mm,0,Bottom
C17,10uF,C_0805,110.00mm,35.00mm,0,Bottom
C18,10uF,C_0805,116.00mm,49.00mm,0,Bottom
C27,10uF,C_0805,108.00mm,39.00mm,0,Bottom
C19,22uF,C_1206,110.00mm,58.50mm,0,Bottom
C21,100nF,C_0805,38.00mm,23.50mm,0,Bottom
C22,0.47u,C_0805,33.17mm,20.00mm,90,Bottom
C23,1uF,C_0805,38.00mm,29.50mm,90,Bottom
C24,1uF,C_0805,29.36mm,22.00mm,90,Bottom
C25,1uF,C_0805,31.50mm,37.50mm,90,Bottom
R20,20k,R_0805,38.00mm,26.50mm,0,Bottom
R21,20k,R_0805,38.00mm,32.50mm,0,Bottom
C1,10uF,C_0805,120.00mm,57.00mm,0,Bottom
C2,22uF,C_1206,125.00mm,62.50mm,0,Bottom
