Designator,Mid X,Mid Y,Rotation,Layer
SW1,18.00,23.50,0,Top
SW2,18.00,41.50,0,Top
SW3,9.00,32.50,0,Top
SW4,27.00,32.50,0,Top
SW5,142.00,22.50,0,Top
SW6,152.00,32.50,0,Top
SW7,142.00,42.50,0,Top
SW8,132.00,32.50,0,Top
SW9,8.00,54.50,0,Top
SW10,28.00,54.50,0,Top
SW13,142.00,62.50,0,Top
LED1,25.00,67.50,0,Top
LED2,32.00,67.50,0,Top
SW11,15.00,2.50,90,Bottom
SW12,145.00,2.50,90,Bottom
U1,80.00,27.50,0,Bottom
J4,135.00,35.50,90,Bottom
J1,80.00,72.00,0,Bottom
U6,140.00,67.00,0,Bottom
SW_PWR,8.00,22.50,0,Bottom
U2,110.00,42.50,0,Bottom
U3,125.00,55.50,0,Bottom
U5,30.00,29.50,0,Bottom
L1,110.00,52.50,0,Bottom
J3,80.00,52.50,0,Bottom
R1,74.00,67.00,0,Bottom
R2,86.00,67.00,0,Bottom
R3,65.00,43.50,0,Bottom
C3,70.00,43.50,0,Bottom
C4,90.00,43.50,0,Bottom
R17,75.00,43.50,0,Bottom
R18,85.00,43.50,0,Bottom
R4,50.00,44.00,0,Bottom
R5,55.00,44.00,0,Bottom
R6,60.00,44.00,0,Bottom
R7,65.00,44.00,0,Bottom
R8,70.00,44.00,0,Bottom
R9,75.00,44.00,0,Bottom
R10,80.00,44.00,0,Bottom
R11,85.00,44.00,0,Bottom
R12,90.00,44.00,0,Bottom
R13,95.00,44.00,0,Bottom
R14,100.00,44.00,0,Bottom
R15,105.00,44.00,0,Bottom
R19,110.00,44.00,0,Bottom
R16,115.00,52.50,0,Bottom
C5,50.00,48.00,0,Bottom
C6,55.00,48.00,0,Bottom
C7,60.00,48.00,0,Bottom
C8,65.00,48.00,0,Bottom
C9,70.00,48.00,0,Bottom
C10,75.00,48.00,0,Bottom
C11,80.00,48.00,0,Bottom
C12,85.00,48.00,0,Bottom
C13,90.00,48.00,0,Bottom
C14,95.00,48.00,0,Bottom
C15,100.00,48.00,0,Bottom
C16,105.00,48.00,0,Bottom
C20,110.00,48.00,0,Bottom
C17,104.00,37.50,0,Bottom
C18,116.00,37.50,0,Bottom
C19,110.00,58.50,0,Bottom
C1,125.00,50.50,0,Bottom
C2,125.00,60.50,0,Bottom
